kind,seed,panel,unit_row,column,lap,phase_bin,value
trained,2,globalnorm,1,17,1,17,-0.2339
trained,2,globalnorm,1,18,1,18,-0.32221
trained,2,globalnorm,1,19,1,19,-0.38638
trained,2,globalnorm,1,20,1,20,-0.45702
trained,2,globalnorm,1,21,1,21,-0.54435
trained,2,globalnorm,1,22,1,22,-0.61743
trained,2,globalnorm,1,23,1,23,-0.66916
trained,2,globalnorm,1,24,1,24,-0.72527
trained,2,globalnorm,1,25,1,25,-0.79223
trained,2,globalnorm,1,26,1,26,-0.85528
trained,2,globalnorm,1,27,1,27,-0.91121
trained,2,globalnorm,1,28,1,28,-0.95284
trained,2,globalnorm,1,29,1,29,-0.9669
trained,2,globalnorm,1,30,1,30,-0.97993
trained,2,globalnorm,1,31,1,31,-1.0
trained,2,globalnorm,1,32,1,32,-0.98302
trained,2,globalnorm,1,33,1,33,-0.9216
trained,2,globalnorm,1,34,1,34,-0.85582
trained,2,globalnorm,1,35,1,35,-0.86655
trained,2,globalnorm,1,36,1,36,-0.87247
trained,2,globalnorm,1,37,1,37,-0.86978
trained,2,globalnorm,1,38,1,38,-0.82131
trained,2,globalnorm,1,39,1,39,-0.60962
trained,2,globalnorm,1,40,2,0,-0.54274
trained,2,globalnorm,1,41,2,1,-0.52651
trained,2,globalnorm,1,42,2,2,-0.5371
trained,2,globalnorm,1,43,2,3,-0.52486
trained,2,globalnorm,1,44,2,4,-0.52157
trained,2,globalnorm,1,45,2,5,-0.52298
trained,2,globalnorm,1,46,2,6,-0.5223
trained,2,globalnorm,1,47,2,7,-0.54818
trained,2,globalnorm,1,48,2,8,-0.57163
trained,2,globalnorm,1,49,2,9,-0.56989
trained,2,globalnorm,1,50,2,10,-0.56011
trained,2,globalnorm,1,51,2,11,-0.552
trained,2,globalnorm,1,52,2,12,-0.55586
trained,2,globalnorm,1,53,2,13,-0.57383
trained,2,globalnorm,1,54,2,14,-0.59674
trained,2,globalnorm,1,55,2,15,-0.61488
trained,2,globalnorm,1,56,2,16,-0.65259
trained,2,globalnorm,1,57,2,17,-0.67444
trained,2,globalnorm,1,58,2,18,-0.67585
trained,2,globalnorm,1,59,2,19,-0.66696
trained,2,globalnorm,1,60,2,20,-0.65851
trained,2,globalnorm,1,61,2,21,-0.67806
trained,2,globalnorm,1,62,2,22,-0.67566
trained,2,globalnorm,1,63,2,23,-0.65085
trained,2,globalnorm,1,64,2,24,-0.61874
trained,2,globalnorm,1,65,2,25,-0.52791
trained,2,globalnorm,1,66,2,26,-0.42581
trained,2,globalnorm,1,67,2,27,-0.38661
trained,2,globalnorm,1,68,2,28,-0.3372
trained,2,globalnorm,1,69,2,29,-0.30381
trained,2,globalnorm,1,70,2,30,-0.27318
trained,2,globalnorm,1,71,2,31,-0.22559
trained,2,globalnorm,1,72,2,32,-0.19494
trained,2,globalnorm,1,73,2,33,-0.16892
trained,2,globalnorm,1,74,2,34,-0.13743
trained,2,globalnorm,1,75,2,35,-0.12786
trained,2,globalnorm,1,76,2,36,-0.11678
trained,2,globalnorm,1,77,2,37,-0.11773
trained,2,globalnorm,1,78,2,38,-0.11163
trained,2,globalnorm,1,79,2,39,0.06745
trained,2,globalnorm,1,80,3,0,0.11024
trained,2,globalnorm,1,81,3,1,0.15975
trained,2,globalnorm,1,82,3,2,0.15522
trained,2,globalnorm,1,83,3,3,0.13151
trained,2,globalnorm,1,84,3,4,0.12413
trained,2,globalnorm,1,85,3,5,0.12116
trained,2,globalnorm,1,86,3,6,0.1067
trained,2,globalnorm,1,87,3,7,0.07581
trained,2,globalnorm,1,88,3,8,0.04311
trained,2,globalnorm,1,89,3,9,0.00305
trained,2,globalnorm,1,90,3,10,-0.04274
trained,2,globalnorm,1,91,3,11,-0.10472
trained,2,globalnorm,1,92,3,12,-0.15272
trained,2,globalnorm,1,93,3,13,-0.18889
trained,2,globalnorm,1,94,3,14,-0.2378
trained,2,globalnorm,1,95,3,15,-0.281
trained,2,globalnorm,1,96,3,16,-0.31931
trained,2,globalnorm,1,97,3,17,-0.37156
trained,2,globalnorm,1,98,3,18,-0.42664
trained,2,globalnorm,1,99,3,19,-0.49143
trained,2,globalnorm,1,100,3,20,-0.56877
trained,2,globalnorm,1,101,3,21,-0.63551
trained,2,globalnorm,1,102,3,22,-0.70693
trained,2,globalnorm,1,103,3,23,-0.74377
trained,2,globalnorm,1,104,3,24,-0.75717
trained,2,globalnorm,1,105,3,25,-0.80494
trained,2,globalnorm,1,106,3,26,-0.85407
trained,2,globalnorm,1,107,3,27,-0.88503
trained,2,globalnorm,1,108,3,28,-0.91127
trained,2,globalnorm,1,109,3,29,-0.91771
trained,2,globalnorm,1,110,3,30,-0.90469
trained,2,globalnorm,1,111,3,31,-0.89746
trained,2,globalnorm,1,112,3,32,-0.91964
trained,2,globalnorm,1,113,3,33,-0.93166
trained,2,globalnorm,1,114,3,34,-0.91655
trained,2,globalnorm,1,115,3,35,-0.88045
trained,2,globalnorm,1,116,3,36,-0.84352
trained,2,globalnorm,1,117,3,37,-0.81454
trained,2,globalnorm,1,118,3,38,-0.78393
trained,2,globalnorm,1,119,3,39,-0.58746
trained,2,globalnorm,1,120,4,0,-0.52049
trained,2,globalnorm,1,121,4,1,-0.51918
trained,2,globalnorm,1,122,4,2,-0.51655
trained,2,globalnorm,1,123,4,3,-0.51107
trained,2,globalnorm,1,124,4,4,-0.50352
trained,2,globalnorm,1,125,4,5,-0.46702
trained,2,globalnorm,1,126,4,6,-0.50048
