D_train,D_test,ratio,mode,phase,base_seed,acc_pct_mean_over_retime_seeds,n_retime_seeds
30,80,2.6667,rand_complex,recovery,2,66.433,3
30,80,2.6667,rand_complex,recovery,3,62.317,3
30,80,2.6667,rand_complex,recovery,4,57.9,3
30,80,2.6667,rand_complex,recovery,5,66.317,3
30,80,2.6667,rand_complex,recovery,6,75.95,3
30,80,2.6667,rand_complex,recovery,7,69.867,3
30,80,2.6667,rand_complex,recovery,8,69.867,3
30,80,2.6667,rand_complex,recovery,9,68.367,3
30,80,2.6667,rand_complex,recovery,72,68.433,3
30,80,2.6667,rand_complex,transfer,1,50.233,3
30,80,2.6667,rand_complex,transfer,2,51.117,3
30,80,2.6667,rand_complex,transfer,3,45.25,3
30,80,2.6667,rand_complex,transfer,4,36.717,3
30,80,2.6667,rand_complex,transfer,5,46.833,3
30,80,2.6667,rand_complex,transfer,6,61.45,3
30,80,2.6667,rand_complex,transfer,7,48.367,3
30,80,2.6667,rand_complex,transfer,8,58.683,3
30,80,2.6667,rand_complex,transfer,9,38.767,3
30,80,2.6667,rand_complex,transfer,72,45.683,3
30,90,3.0,hippo,recovery,1,53.017,3
30,90,3.0,hippo,recovery,2,75.95,3
30,90,3.0,hippo,recovery,3,64.4,3
30,90,3.0,hippo,recovery,4,70.75,3
30,90,3.0,hippo,recovery,5,74.317,3
30,90,3.0,hippo,recovery,6,77.033,3
30,90,3.0,hippo,recovery,7,61.883,3
30,90,3.0,hippo,recovery,8,73.8,3
30,90,3.0,hippo,recovery,9,79.067,3
30,90,3.0,hippo,recovery,72,74.317,3
30,90,3.0,hippo,transfer,1,34.717,3
30,90,3.0,hippo,transfer,2,57.183,3
30,90,3.0,hippo,transfer,3,52.5,3
30,90,3.0,hippo,transfer,4,54.7,3
30,90,3.0,hippo,transfer,5,57.417,3
30,90,3.0,hippo,transfer,6,74.817,3
30,90,3.0,hippo,transfer,7,50.267,3
30,90,3.0,hippo,transfer,8,62.4,3
30,90,3.0,hippo,transfer,9,72.3,3
30,90,3.0,hippo,transfer,72,53.683,3
30,90,3.0,rand_complex,recovery,1,69.783,3
30,90,3.0,rand_complex,recovery,2,61.983,3
30,90,3.0,rand_complex,recovery,3,56.567,3
30,90,3.0,rand_complex,recovery,4,55.7,3
30,90,3.0,rand_complex,recovery,5,62.567,3
30,90,3.0,rand_complex,recovery,6,71.983,3
30,90,3.0,rand_complex,recovery,7,67.933,3
30,90,3.0,rand_complex,recovery,8,66.0,3
30,90,3.0,rand_complex,recovery,9,59.233,3
30,90,3.0,rand_complex,recovery,72,64.45,3
30,90,3.0,rand_complex,transfer,1,40.65,3
30,90,3.0,rand_complex,transfer,2,45.05,3
30,90,3.0,rand_complex,transfer,3,36.65,3
30,90,3.0,rand_complex,transfer,4,35.75,3
30,90,3.0,rand_complex,transfer,5,38.65,3
30,90,3.0,rand_complex,transfer,6,52.333,3
30,90,3.0,rand_complex,transfer,7,40.65,3
30,90,3.0,rand_complex,transfer,8,50.6,3
30,90,3.0,rand_complex,transfer,9,35.783,3
30,90,3.0,rand_complex,transfer,72,39.117,3
30,100,3.3333,hippo,recovery,1,53.117,3
30,100,3.3333,hippo,recovery,2,75.567,3
30,100,3.3333,hippo,recovery,3,61.367,3
30,100,3.3333,hippo,recovery,4,67.933,3
30,100,3.3333,hippo,recovery,5,70.817,3
30,100,3.3333,hippo,recovery,6,76.383,3
30,100,3.3333,hippo,recovery,7,55.933,3
30,100,3.3333,hippo,recovery,8,73.667,3
30,100,3.3333,hippo,recovery,9,76.233,3
30,100,3.3333,hippo,recovery,72,74.783,3
30,100,3.3333,hippo,transfer,1,34.217,3
30,100,3.3333,hippo,transfer,2,57.383,3
30,100,3.3333,hippo,transfer,3,49.5,3
30,100,3.3333,hippo,transfer,4,50.7,3
30,100,3.3333,hippo,transfer,5,51.417,3
30,100,3.3333,hippo,transfer,6,73.55,3
30,100,3.3333,hippo,transfer,7,49.3,3
30,100,3.3333,hippo,transfer,8,52.333,3
30,100,3.3333,hippo,transfer,9,66.9,3
30,100,3.3333,hippo,transfer,72,51.967,3
30,100,3.3333,rand_complex,recovery,1,64.45,3
30,100,3.3333,rand_complex,recovery,2,57.15,3
30,100,3.3333,rand_complex,recovery,3,52.95,3
30,100,3.3333,rand_complex,recovery,4,35.4,3
30,100,3.3333,rand_complex,recovery,5,56.167,3
30,100,3.3333,rand_complex,recovery,6,65.45,3
30,100,3.3333,rand_complex,recovery,7,65.2,3
30,100,3.3333,rand_complex,recovery,8,65.6,3
30,100,3.3333,rand_complex,recovery,9,42.617,3
