kind,projection,split,lap,dim1,dim2
trained,lda,train,2,3.3915566569994269,-1.0092305450921017
trained,lda,train,3,-5.3598152495955063,-0.82783561871788613
trained,lda,train,3,-11.567594355977381,2.5547571979015182
trained,lda,train,3,-4.9740926220564692,-1.1590456309897499
trained,lda,train,2,3.5844605340020053,0.79563357498128406
trained,lda,train,3,-4.4308878816861226,2.2652513716286276
trained,lda,train,4,-12.925779893058978,1.7217219931646575
trained,lda,train,2,3.4317931905179351,-0.068983362765313791
trained,lda,train,3,-5.4455180384816515,0.36512816938793613
trained,lda,train,2,3.4324657062275792,-0.71386640838318893
trained,lda,train,3,-5.1057554456020044,-0.63252624912674049
trained,lda,train,3,-5.1452928866009211,-0.49328750519200121
trained,lda,train,4,-12.978892710190689,0.59290647887128756
trained,lda,train,3,-4.7708265407615222,-0.57288657797963993
trained,lda,train,2,3.0080867189278266,-1.2053359375438959
trained,lda,train,2,3.2212634282070325,-0.95779795316617822
trained,lda,train,3,-4.7702012574470691,0.62722004838784051
trained,lda,train,2,3.8967876281775551,0.86475260362718298
trained,lda,train,2,4.3638709023365321,1.2045894577970773
trained,lda,train,2,3.421892620998328,-0.9421516925086123
trained,lda,train,2,3.0336887494602167,0.67531050022000827
trained,lda,train,3,-5.0781575025568895,-1.3051380264700034
trained,lda,train,3,-4.8709455798097068,-0.52783911125912597
trained,lda,train,2,3.3157831522521168,0.3378572011118639
trained,lda,train,3,-4.3233107525873837,-0.32166236923031094
trained,lda,train,2,3.1494233132777354,-1.1622088084876003
trained,lda,train,3,-5.0160492001500083,-1.0315436228113657
trained,lda,train,2,3.1986184252445398,-1.3713409679843616
trained,lda,train,2,3.8938451906291225,-0.78322266504494775
trained,lda,train,2,3.4344156406826229,1.3462915325843545
trained,lda,train,2,3.4563846302760095,-0.32593708852175596
trained,lda,train,2,3.3615805268997931,-0.93703433056736352
trained,lda,train,3,-3.9911689328098698,-0.34865921470011207
trained,lda,train,2,3.4860582263403685,0.17514663088435023
trained,lda,train,2,3.888528966941315,-0.25627245929664616
trained,lda,train,3,-4.8524700180293374,0.29164450011351539
trained,lda,train,3,-5.0603066671076915,-1.114143680365977
trained,lda,train,3,-4.8153988168073676,-0.18078402848812605
trained,lda,train,2,3.662549651517697,0.1844772764860903
trained,lda,train,3,-5.3211200277705499,0.62791499302824283
trained,lda,train,3,-4.5855070661743431,-0.22787416403273564
trained,lda,train,3,-4.6325776196221442,0.084274864470450642
trained,lda,train,2,5.278718314949983,0.90303048076345793
trained,lda,train,4,-13.279295704803539,-1.4776354014023856
trained,lda,train,2,3.204575431614979,0.84587952072949402
trained,lda,train,2,3.3534645503752514,0.1486915905068053
trained,lda,train,2,4.2583873022926966,0.52561402323092454
trained,lda,train,2,3.4815463292490056,0.21369781506333035
trained,lda,train,2,3.6921019257815892,-0.68699633960853013
trained,lda,train,2,3.3075650568420709,-1.1026206867888924
trained,lda,train,2,2.8086974489576542,-0.44438491656516277
trained,lda,train,3,-4.4560018698906241,-0.48547519068523542
trained,lda,train,2,3.7026576783137388,0.26660679612945454
trained,lda,train,2,3.856559258240182,0.58620209868757811
trained,lda,train,2,3.6932548442544459,-0.55691985897112506
trained,lda,train,3,-4.7211648076193979,-0.22485122730794105
trained,lda,train,3,-4.2749361458211501,0.019040151360733476
trained,lda,train,3,-4.560265163138026,-0.51732706842632015
trained,lda,train,3,-4.7555630475514379,0.280068375371339
trained,lda,train,2,3.3228037268044925,-1.1720989886853916
trained,lda,train,3,-5.1903087691314607,-1.4129235770789925
trained,lda,train,2,3.3817038830917978,0.50065106701525774
trained,lda,train,2,4.2346206661985795,0.76784004067928346
trained,lda,train,2,3.8276805781264027,1.0107691988201857
trained,lda,train,3,-4.7242751605558082,0.71131650382470935
trained,lda,train,2,3.6305901088340975,0.36412999184126021
trained,lda,train,3,-4.758905899935578,-0.6254382379442508
trained,lda,train,2,3.9024408724726554,0.59619197352908937
trained,lda,train,3,-5.8730200162405248,0.35817708424240896
trained,lda,train,2,3.0340504140783078,1.0695331659264418
trained,lda,train,2,3.8178439590050868,0.23163382217111803
trained,lda,train,3,-3.5322540560294446,2.842075897332033
trained,lda,train,3,-5.00769471781968,-1.0453512591545282
trained,lda,train,2,3.6221370821233858,-0.024930474233654125
trained,lda,train,2,3.2226438842779541,1.7826245701303651
trained,lda,train,3,-4.6480302445740405,-0.84681707619302371
trained,lda,train,2,3.4355242825879984,-0.80770510277325513
trained,lda,train,2,3.3977573073767235,-0.065244347994888249
trained,lda,train,2,3.8918145046474257,1.2953450258894739
trained,lda,train,2,5.1148324714853928,1.8739863639317287
trained,lda,train,2,3.7321634274536382,0.22184531228373805
trained,lda,train,3,-4.6392251608732735,1.4579608214028466
trained,lda,train,2,3.6463620708499946,0.66858609616935782
trained,lda,train,2,3.3994983525248883,-0.14149718274338596
trained,lda,train,2,3.2235785156261545,-1.5125337671433821
trained,lda,train,2,3.7929249195111403,-1.1826348645466196
trained,lda,train,2,3.1723712221763929,-1.4965108648669627
trained,lda,train,2,3.5580738965869054,-1.177447252262924
trained,lda,train,3,-5.2032980976576395,-0.68937858675584074
trained,lda,train,2,4.000241936701741,-0.072158588030659554
trained,lda,train,2,3.2550667100852233,-0.45298714631451309
trained,lda,train,2,4.1304271396332446,0.55317465722474135
trained,lda,train,2,3.3259728007474156,0.60440179139053052
trained,lda,train,2,3.4787690215057654,2.0625443187240786
trained,lda,train,3,-5.213290896858469,-0.59816471108276692
trained,lda,train,3,-3.8451395877898684,2.0570038497431802
trained,lda,train,2,3.6811206026020571,-1.0461449889642105
trained,lda,train,2,3.6491283506688079,-1.146623953684943
trained,lda,train,3,-5.2648660304827342,-0.076902402245114049
trained,lda,train,2,3.1649925550338343,-0.60938584228592152
trained,lda,train,2,3.4067623035863153,-0.078036831630802564
trained,lda,train,3,-3.9297546261527314,1.2857774545111127
trained,lda,train,4,-13.994316737835845,-1.2419604844197674
trained,lda,train,2,3.6016440521919741,-1.5368963546398833
trained,lda,train,2,-3.3039269860983413,0.58858622296779683
trained,lda,train,3,-5.276009543896401,1.4598089154936875
trained,lda,train,3,-4.684851141820463,1.5194250360834778
trained,lda,train,2,3.3029095812016855,-0.58969994722231078
trained,lda,train,3,-4.8965761491189079,0.50990137010797654
trained,lda,train,2,3.4240938134967855,-0.09490384546916554
trained,lda,train,4,-12.543588398675249,-0.85618340353557976
trained,lda,train,2,4.2589781483914866,1.4449933641332153
trained,lda,train,2,3.69562164768322,0.4081523975936085
trained,lda,train,2,3.6413934382875062,-0.99160059925538946
trained,lda,train,2,3.4273979857232226,-0.15975272408613977
trained,lda,train,3,-5.0114789907919182,-0.42662705202372575
trained,lda,train,2,3.6712188098458594,0.019952475322425663
trained,lda,train,3,-4.0195178106775629,0.33167750245050165
trained,lda,train,3,-4.4843208171567239,-0.48235725381594485
trained,lda,train,3,-4.2150492852260397,0.57420675345796779
trained,lda,train,3,-3.1184602589920876,4.1867379722087978
trained,lda,train,2,3.3528734176493837,-0.21463723688602143
trained,lda,train,4,-13.749410971247009,1.1195552512972067
trained,lda,train,3,-4.6222849400567689,-1.2263753898466967
trained,lda,train,3,-4.2499510668699862,0.97844942876154817
trained,lda,train,2,3.6443420548206604,-0.94116198294853437
trained,lda,train,2,3.5866083883757938,-1.3143638369947153
trained,lda,train,3,-5.1140686187907036,-1.560426620643842
trained,lda,train,2,3.4812770638571027,0.40360066674593731
trained,lda,train,3,-4.55704816447592,0.010714598486315724
trained,lda,train,2,3.855942122629858,0.25900691393250663
trained,lda,train,1,11.912401098700096,0.57912417453029752
trained,lda,train,2,4.3987879280503774,0.83769827456136536
trained,lda,train,2,-2.9235070259166127,2.6428132718058026
trained,lda,train,3,-5.2207324888774416,-1.4888003341454845
trained,lda,train,3,-5.265521728586525,0.28903274756486191
trained,lda,train,2,3.6123807024447183,-1.5240790540194689
trained,lda,train,2,-3.2012058401904757,0.22330211711304485
trained,lda,train,3,-4.7684540445621639,1.3842886718871834
trained,lda,train,2,3.4877223672615005,-1.0163558158975439
trained,lda,train,3,-4.3221772506004488,0.577760462989371
trained,lda,train,3,-4.4809493120969268,-0.13046521819725232
trained,lda,train,2,3.5523625132131658,0.27629800950542982
trained,lda,train,2,3.4774769788363042,-0.19227557184531516
trained,lda,train,3,-4.3997056356526727,-0.23004719488691039
trained,lda,train,2,3.5723797679255753,1.4393023718733058
trained,lda,train,2,3.8249584768352514,-0.47886191946606971
trained,lda,train,2,3.482223803777067,-0.36610402984479612
trained,lda,train,3,-4.8579604392423681,0.5582092627142301
trained,lda,train,3,-4.3330023820633494,-0.032946947195297227
trained,lda,train,2,3.2725333625303281,-1.3967144709323629
trained,lda,train,3,-4.9065322228531292,0.21706619508970482
trained,lda,train,2,3.4083966241494013,-1.32609500585342
trained,lda,train,3,-4.5910560669957539,-0.91355630762679985
trained,lda,train,2,3.741352598961134,0.46424513870365636
trained,lda,train,2,3.3241891592015294,-0.84336700873819848
trained,lda,train,2,3.6836973223719673,-0.64916808282173366
trained,lda,train,2,-2.9811006827858391,-0.35782291194157856
trained,lda,train,2,3.6535103094138277,0.48062349111134051
trained,lda,train,3,-5.1808816403624363,0.74603666001020519
trained,lda,train,1,12.169607574746145,0.31504726181025328
trained,lda,train,3,-4.4430333693300881,1.5141146124267164
trained,lda,train,2,3.4831462893601972,-0.0026553458143630058
trained,lda,train,2,3.4368011182778457,-0.22214630277257899
trained,lda,train,2,3.2907529668165822,0.14742713897428006
trained,lda,train,2,4.1861151776873919,-0.26737989553315689
trained,lda,train,3,-5.0099690094584908,-0.73167294201968025
trained,lda,train,3,-5.3995062175387352,0.8459994647258936
