mode,phase,seed,sort,unit_rank,time_bin,peak_count,value
hippo,initial_d30,1,freq,5,2,1,0.97421
hippo,initial_d30,1,freq,5,3,1,0.9486
hippo,initial_d30,1,freq,5,4,1,0.91481
hippo,initial_d30,1,freq,5,5,1,0.87311
hippo,initial_d30,1,freq,5,6,1,0.82387
hippo,initial_d30,1,freq,5,7,1,0.76748
hippo,initial_d30,1,freq,5,8,1,0.70442
hippo,initial_d30,1,freq,5,9,1,0.63521
hippo,initial_d30,1,freq,5,10,1,0.56041
hippo,initial_d30,1,freq,5,11,1,0.48064
hippo,initial_d30,1,freq,5,12,1,0.39653
hippo,initial_d30,1,freq,5,13,1,0.30878
hippo,initial_d30,1,freq,5,14,1,0.21807
hippo,initial_d30,1,freq,5,15,1,0.12515
hippo,initial_d30,1,freq,5,16,1,0.03076
hippo,initial_d30,1,freq,5,17,1,-0.06435
hippo,initial_d30,1,freq,5,18,1,-0.15942
hippo,initial_d30,1,freq,5,19,1,-0.2537
hippo,initial_d30,1,freq,5,20,1,-0.34644
hippo,initial_d30,1,freq,5,21,1,-0.43691
hippo,initial_d30,1,freq,5,22,1,-0.52439
hippo,initial_d30,1,freq,5,23,1,-0.6082
hippo,initial_d30,1,freq,5,24,1,-0.68768
hippo,initial_d30,1,freq,5,25,1,-0.76221
hippo,initial_d30,1,freq,5,26,1,-0.83122
hippo,initial_d30,1,freq,5,27,1,-0.89417
hippo,initial_d30,1,freq,5,28,1,-0.95057
hippo,initial_d30,1,freq,5,29,1,-1.0
hippo,initial_d30,1,freq,6,0,1,1.0
hippo,initial_d30,1,freq,6,1,1,0.89244
hippo,initial_d30,1,freq,6,2,1,0.78703
hippo,initial_d30,1,freq,6,3,1,0.68387
hippo,initial_d30,1,freq,6,4,1,0.58303
hippo,initial_d30,1,freq,6,5,1,0.48457
hippo,initial_d30,1,freq,6,6,1,0.38859
hippo,initial_d30,1,freq,6,7,1,0.29514
hippo,initial_d30,1,freq,6,8,1,0.2043
hippo,initial_d30,1,freq,6,9,1,0.11614
hippo,initial_d30,1,freq,6,10,1,0.03072
hippo,initial_d30,1,freq,6,11,1,-0.05189
hippo,initial_d30,1,freq,6,12,1,-0.13163
hippo,initial_d30,1,freq,6,13,1,-0.20845
hippo,initial_d30,1,freq,6,14,1,-0.28227
hippo,initial_d30,1,freq,6,15,1,-0.35305
hippo,initial_d30,1,freq,6,16,1,-0.42075
hippo,initial_d30,1,freq,6,17,1,-0.48529
hippo,initial_d30,1,freq,6,18,1,-0.54666
hippo,initial_d30,1,freq,6,19,1,-0.60478
hippo,initial_d30,1,freq,6,20,1,-0.65962
hippo,initial_d30,1,freq,6,21,1,-0.71116
hippo,initial_d30,1,freq,6,22,1,-0.75932
hippo,initial_d30,1,freq,6,23,1,-0.80411
hippo,initial_d30,1,freq,6,24,1,-0.84547
hippo,initial_d30,1,freq,6,25,1,-0.88337
hippo,initial_d30,1,freq,6,26,1,-0.9178
hippo,initial_d30,1,freq,6,27,1,-0.94874
hippo,initial_d30,1,freq,6,28,1,-0.97614
hippo,initial_d30,1,freq,6,29,1,-1.0
hippo,initial_d30,1,freq,7,0,1,1.0
hippo,initial_d30,1,freq,7,1,1,0.91924
hippo,initial_d30,1,freq,7,2,1,0.83929
hippo,initial_d30,1,freq,7,3,1,0.76024
hippo,initial_d30,1,freq,7,4,1,0.68199
hippo,initial_d30,1,freq,7,5,1,0.6047
hippo,initial_d30,1,freq,7,6,1,0.52821
hippo,initial_d30,1,freq,7,7,1,0.4526
hippo,initial_d30,1,freq,7,8,1,0.37781
hippo,initial_d30,1,freq,7,9,1,0.30389
hippo,initial_d30,1,freq,7,10,1,0.23079
hippo,initial_d30,1,freq,7,11,1,0.15857
hippo,initial_d30,1,freq,7,12,1,0.08712
hippo,initial_d30,1,freq,7,13,1,0.01661
hippo,initial_d30,1,freq,7,14,1,-0.05309
hippo,initial_d30,1,freq,7,15,1,-0.12196
hippo,initial_d30,1,freq,7,16,1,-0.19
hippo,initial_d30,1,freq,7,17,1,-0.25727
hippo,initial_d30,1,freq,7,18,1,-0.32362
hippo,initial_d30,1,freq,7,19,1,-0.38918
hippo,initial_d30,1,freq,7,20,1,-0.45397
hippo,initial_d30,1,freq,7,21,1,-0.51786
hippo,initial_d30,1,freq,7,22,1,-0.58092
hippo,initial_d30,1,freq,7,23,1,-0.64325
hippo,initial_d30,1,freq,7,24,1,-0.70473
hippo,initial_d30,1,freq,7,25,1,-0.76536
hippo,initial_d30,1,freq,7,26,1,-0.82527
hippo,initial_d30,1,freq,7,27,1,-0.88428
hippo,initial_d30,1,freq,7,28,1,-0.94253
hippo,initial_d30,1,freq,7,29,1,-1.0
hippo,initial_d30,1,freq,8,0,1,1.0
hippo,initial_d30,1,freq,8,1,1,0.8361
hippo,initial_d30,1,freq,8,2,1,0.6781
hippo,initial_d30,1,freq,8,3,1,0.5262
hippo,initial_d30,1,freq,8,4,1,0.38062
hippo,initial_d30,1,freq,8,5,1,0.2415
hippo,initial_d30,1,freq,8,6,1,0.10905
hippo,initial_d30,1,freq,8,7,1,-0.01658
hippo,initial_d30,1,freq,8,8,1,-0.13523
hippo,initial_d30,1,freq,8,9,1,-0.24676
hippo,initial_d30,1,freq,8,10,1,-0.35102
hippo,initial_d30,1,freq,8,11,1,-0.44788
hippo,initial_d30,1,freq,8,12,1,-0.53723
hippo,initial_d30,1,freq,8,13,1,-0.61896
hippo,initial_d30,1,freq,8,14,1,-0.69296
hippo,initial_d30,1,freq,8,15,1,-0.75915
hippo,initial_d30,1,freq,8,16,1,-0.81744
